file,offset,japanese_text,english_text,confidence,source_section,priority
romfs/fe/tuto_007.rtz,0x3B4C,"䭶籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタック",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B4E,"䭶籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックし",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B50,"籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックした",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B52,"䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよ",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B54,"䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B56,"昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B58,"簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？쓁",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3B5A,"㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？쓁鶀",,0.95,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3BEC,"6600}ヴァンガード{$}で
アタック",,0.85,file_end,HIGH
romfs/fe/tuto_007.rtz,0x3BEE,"600}ヴァンガード{$}で
アタックし",,0.85,file_end,HIGH
